societe,page,table_num,"Flux
publiés
2024","Sinistres CSS Autres impôts Dividendes Produits R à S/ Jetons de
R à S/ Fournisseurs Fournisseurs
encaissés sur & Taxe & taxes hors servis nets financiers dividendes présence
IS d'exploitation d'immobilisations
cessions Conjoncturelle (FGA) de R à S encaissés versés servis","Flux
retraités
2024","Développements
en cours","Agencements
et
aménagements","Matériels de
transport","Matériels et
équipements de
bureau","Matériels
informatiques","Matériel
d'exploitation","Œuvres
d'arts",Total,Désignation,31/12/2025,col,col_2,31/12/2024,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,Exercice,Exercice_2,Taux,"Exercice
2025",Charges par nature,Charges par destination,"Exercice
2024",Résultat Comptable avant impôt (a),9 272 513,"+ Avoirs en banques, CCP, chèques et caisse",7 330 025,8 782 332,2 025,2 024,Nature de la rémunération,D.G.A (1),D.G.A (2),Administrateurs,Opérations de l'exercice,"GAT
Assurances","GAT
Investissement","GAT
Immobilier","GAT
Promotion
immobilière",GAT,Soldes à la fin de l'exercice,Engagements hors bilan,"Exercice de survenance
Année d'inventaire
2021 2022 2023 2024 2025","Revenus et frais financiers
concernant les placements
dans des entreprises liées et
avec lien de participation","Autres revenus
et frais financiers",Revenus et frais financiers,"Raccordement
selon Annexe n° 15
NCT 26",Type du client,"Composition du
portefeuille",Indice de référence,Benchmark
GAT,15,1,10 777,(10 777) - - - - - - - - -,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,-,10 777 - - - - - - - - -,10 777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(4 558 898),- - 259 096 (956 632) (171 517) 265 994 - - 2 000 (51 200),(5 211 155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(2 025 044),- 1 243 807 - 956 632 - - 1 125 (223 500) - -,(46 980),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,26 075 214,- 3 076 073 - - - - 223 500 - -,29 374 786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,-,- (4 319 880) (259 096) - - - - - - -,(4 578 976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(51 200),- - - - - - - - - 51 200,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(171 517),- - - - 171 517 (265 994) - - - -,(265 994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,15,1,(1 746 875),- - - - - - (1 125) - (2 000) -,(1 750 000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,"-
30 934
-
-","244 726
5 118
-
-","387 630
-
-
-","135 273
-
-
-","31 426
-
-
-","66 419
3 040
-
-","28 585
-
-
-","2 564 841
72 672
90 671
(442 333)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,30 934,249 844,387 630,135 273,31 426,69 458,28 585,2 285 851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,"-
-
-
-","160 316
25 490
-
-","232 791
67 526
-
-","37 439
12 553
-
-","30 884
96
-
-","31 040
9 699
-
-","-
-
-
-","1 931 122
121 343
90 671
(280 882)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,-,185 806,300 317,49 992,30 979,40 739,-,1 862 254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,30 934,64 038,87 314,85 282,446,28 720,28 585,423 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,25,1,,,,-,84 410,154 840,97 834,542,35 379,28 585,633 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,,Brut,Provisions,Net,Brut,Provisions,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Placements immobiliers (1),12 058 765,-,12 058 765,6 714 665,-,6 714 665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Terrains & constructions hors exploitation,5 344 100,-,5 344 100,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Parts et actions de sociétés immobilères non cotées,6 714 665,-,6 714 665,6 714 665,-,6 714 665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Autres placements (2),360 947 154,568 880,360 378 273,297 236 519,560 006,296 676 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Bon de trésor assimilables,56 825 150,-,56 825 150,46 876 163,-,46 876 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Obligations,65 201 000,-,65 201 000,65 326 000,-,65 326 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Compte à terme et certificats de dépôts,176 565 164,-,176 565 164,144 501 368,-,144 501 368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Billets de trésorerie,29 685,29 685,-,29 685,29 685,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres cotés,13 152 307,94 833,13 057 475,15 220 158,113 760,15 106 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et parts d'OPCVM,43 742 512,22 513,43 719 999,20 547 194,1 329,20 545 865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres non cotés,1 763 690,408 740,1 354 950,1 759 290,410 231,1 349 059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Avances sur contrats d'assurance vie,3 553 880,6 500,3 547 380,2 965 233,-,2 965 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Prêts au personnel,113 764,6 609,107 155,11 428,5 000,6 428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Total (1)+(2),373 005 918,568 880,372 437 038,303 951 184,560 006,303 391 178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Titres FCP représentant les contrats UC (1),,,3 433 350,,3 065 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,FCP GAT VIE CROISSANCE,2 234 738,,,1 979 669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,FCP GAT VIE MODERE,1 198 612,,,1 085 941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Autres actifs supports des contrats UC (2),,,3 237 218,,4 793 297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Bon de trésor assimilables,1 377 000,,,1 104 238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Obligations,1 859 000,,,1 554 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Compte à terme,-,,,1 995 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Autres actions et parts d'OPCVM,1 218,,,139 855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Total (1) + (2),,,6 670 568,,7 858 906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,,Brut,Provisions,Net,Brut,Provisions,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Créances nées d’opérations d’assurances directes,1 396 101,107 062,1 289 040,2 586 998,273 652,2 313 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Créances nées d’opérations de réassurances,3 158 597,646 342,2 512 254,2 586 246,387 805,2 198 441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Etat et organismes de sécurité sociale,18 236 312,144 200,18 092 112,13 506 116,-,13 506 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Débiteurs divers,102 457,86 406,16 051,33 317,-,33 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Total (1)+(2),22 893 467,984 009,21 909 458,18 712 677,661 458,18 051 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,"Avoirs en banques, CCP, chèques et caisse",7 244 276,,,8 667 614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,Comptes de régularisation,12 565 666,,,10 867 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,Total,19 809 941,,,19 535 295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,3,,,,,,,,,,,,Intérêts acquis et non échus,7 845 789,,,6 378 085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,3,,,,,,,,,,,,Autres comptes de régularisation,4 719 876,,,4 489 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,3,,,,,,,,,,,,Total,12 565 666,,,10 867 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,Soldes au 31 Décembre 2023,7 000 000,,700 000,213 511,381 990,2 499 019,443 314,6 750 559,4 383 549,22 371 943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,"Affectations décidées par l'AGO du 14 juin 2024
Dividendes décidés par l'AGO du 14 juin 2024
Mouvements nets du fonds social
Résultat net de l'exercice 2024",,,,,"50 000
(11 319)",1 500 000,,1 083 549,"(2 633 549)
(1 750 000)
5 125 580","-
(1 750 000)
(11 319)
5 125 580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,Soldes au 31 Décembre 2024,7 000 000,,700 000,213 511,420 670,3 999 019,443 314,7 834 109,5 125 580,25 736 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,"Affectations décidées par l'AGO du 30 mai 2025
Dividendes décidés par l'AGO du 30 mai 2025
Mouvements nets du fonds social
Résultat net de l'exercice 2025",,,,,"50 000
27 066",1 800 000,,1 175 580,"(3 025 580)
(2 100 000)
7 299 055","-
(2 100 000)
27 066
7 299 055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,Soldes au 31 Décembre 2025,7 000 000,,700 000,213 511,497 736,5 799 019,443 314,9 009 689,7 299 055,30 962 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,1,,,,,,,,,,,,Provision pour risque fiscal,2 096 961,,,1 362 711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,1,,,,,,,,,,,,Autres provisions pour passifs et charges,592 864,,,104 368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,1,,,,,,,,,,,,Total,2 689 825,,,1 467 079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,2,,,,,,,,,,,,Provisions mathématiques,347 337 685,,,293 987 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,2,,,,,,,,,,,,Provisions pour sinistres à payer,15 100 359,,,7 925 667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,2,,,,,,,,,,,,Provisions pour participation aux bénéfices,5 629 866,,,4 237 842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,2,,,,,,,,,,,,Autres provisions techniques,4 746 946,,,4 782 270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,2,,,,,,,,,,,,Total,372 814 856,,,310 933 412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,3,,,,,,,,,,,,Contrats Mixte,184 597 134,,,150 038 617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,3,,,,,,,,,,,,Contrats Epargne,144 330 676,,,125 962 028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,3,,,,,,,,,,,,Contrats Décès,18 409 875,,,17 986 988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,29,3,,,,,,,,,,,,Total,347 337 685,,,293 987 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,30,1,,,,,,,,,,,,Contrats Mixte,2 142 296,,,1 750 843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,30,1,,,,,,,,,,,,Contrats Epargne,10 070 276,,,3 689 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,30,1,,,,,,,,,,,,Contrats Décès,2 887 787,,,2 485 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,30,1,,,,,,,,,,,,Total,15 100 359,,,7 925 667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,,,,,,,,,,,,,,2025,2024,d'Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,Contrats Mixte,,46 471 404,,,41 343 064,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,Contrats Epargne,,36 210 537,,,24 041 197,,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,Contrats Décès,,4 758 994,,,5 285 881,,(10%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,Contrats en Unité de Compte,,2 208 289,,,1 684 507,,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,32,1,,,,,,,,,,,,Total,,89 649 225,,,72 354 649,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,,,,,,,,,,,,,,2025,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,Montants Payés (1),,,26 622 549,,,,,,,,,,45 313 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,Prestations payées (a),,,26 068 411,,,,,,,,,,43 966 618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,Frais de gestion des sinistre (b),,,554 138,,,,,,,,,,1 346 402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,Variation de la provision pour sinistres (2),,,3 365 709,,,,,,,,,,7 174 692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,1,,,,,,,,,,,,Total (1) + (2),,,29 988 258,,,,,,,,,,52 487 712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,,,,,,,,,,,,,,2024,,d'Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,Contrats Mixte,,,12 606 499,,,105%,,,,,,,,,,25 798 888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,Contrats Epargne,,,12 577 295,,,32%,,,,,,,,,,16 664 613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,Contrats Décès,,,884 617,,,70%,,,,,,,,,,1 501 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,Contrats en Unités de Compte,,,-,,,100%,,,,,,,,,,1 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,2,,,,,,,,,,,,Total,,,26 068 411,,,69%,,,,,,,,,,43 966 618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,,,,,,,,,,,,,,2025,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,Contrats Mixte,,32 792 226,,,31 295 599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,Contrats Epargne,,21 060 371,,,22 930 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,Contrats Décès,,854 816,,,1 658 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,Contrats en Unité de Compte,,(1 188 590),,,1 126 565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,33,3,,,,,,,,,,,,Total,,53 518 822,,,57 010 559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,,,,"Frais
d'administration","Gestion des
sinistres",,"Gestion des
placements","Charges
techniques",,,,,,,,,,,,"Frais
d'acquisition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,2 922 570,,,284 690,864 210,,-,865 088,,,,,,,,,,,Charges de personnel et avantages assimilés,908 582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,1 492 370,,,31 971,86 296,,434 106,370 482,,,,,,,,,,,Diverses Charges,569 515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,1 702 954,,,547 244,-,,-,-,,,,,,,,,,,Commissions,1 155 710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,1 681 516,,,123 281,395 363,,-,752 135,,,,,,,,,,,Amortissements et provisions,410 736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,1 414 487,,,286,533,,-,1 285 660,,,,,,,,,,,Honoraires,128 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,330 055,,,-,-,,-,330 055,,,,,,,,,,,Cotisations aux organismes,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,1 167 634,,,-,-,,-,275 553,,,,,,,,,,,Diverses taxes,892 081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,34,1,,,,,,,,,,,10 711 585,,,987 472,1 346 402,,434 106,3 878 974,,,,,,,,,,,Total,4 064 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,35,1,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,35,1,,,,,,,,,,,,"Charges de gestion des placements,",,779 222,,,,,,,,,,,,,,,,,415 604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,35,1,,,,,,,,,,,,Correction de valeurs sur placements,,28 231,,,,,,,,,,,,,,,,,363 764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,35,1,,,,,,,,,,,,Pertes provenant de la réalisation des placements,,2 302,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
