societe,page,table_num,"Flux
GAT,35,1,,,,,,,,,,,,Total,,809 755,,,,,,,,,,,,,,,,,780 224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,,,,,,,,,,,,,,2025,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,Impôt sur les sociétés,,1 644 548,,,1 490 811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,Contribution sociale de solidarité (CSS),,164 455,,,149 081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,Taxe conjoncturelle (Article 64 de la loi n° 2023-13 du 11/12/2023),,-,,,149 081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,"Contribution au compte de diversification des sources de sécurité
sociale (CCDSSS) (Article 20-7° de la loi n° 2025-17 du 12/12/2025)",,164 455,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,36,1,,,,,,,,,,,,Total,,1 973 457,,,1 788 973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,± Réintégrations nettes des déductions (b),(3 161 143),,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Réinvestissement en FCPR sans minimum d'impôt (c),-,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Réinvestissement en FCPR avec minimum d'impôt (d),(2 000 000),,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,= Résultat fiscal (1) =[(a)+(b)+(c)+(d)],4 111 370,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impôt sur les sociétés (IS) dû au 31/12/2025 = [(1) - (d)] x 40%,1 644 548,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contribution Sociale de Solidarité (CSS) due au 31/12/2025 = (1) x 4%,164 455,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCDSSS due au 31/12/2025 = (1) x 4%,164 455,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,38,1,,,,,,,,,,,,,,- Concours bancaires courants,,,,(279 594),,(1 408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,38,1,,,,,,,,,,,,,,Total,,,,7 050 431,,8 780 924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,38,2,,,,,,,,,,,,,,,Résultat net attribuable aux actionnaires (en DT),,,,,,,5 125 580,,,,,,,,,,,,,,,7 299 055,,,,,,,,,,,,,,,,,,,,,,
GAT,38,2,,,,,,,,,,,,,,Nombre d’actions ordinaires,,,,,,,,,,,,,,,,,,,,,,,70 000,70 000,,,,,,,,,,,,,,,,,,,,,
GAT,38,2,,,,,,,,,,,,,,Résultat de base par action (en DT),,,,,,,,,,,,,,,,,,,,,,,"104,272","73,223",,,,,,,,,,,,,,,,,,,,,
GAT,38,3,,,,,,,,,,,,,,"Passif au
31/12/2025","Passif au
31/12/2025",,"Passif au
31/12/2025",,,,,,,,,,,,,,,,,,,,,,,"Charges de
l'exercice","Charges de
l'exercice","Charges de
l'exercice",,,,,,,,,,,,,,,,,
GAT,38,3,,,,,,,,,,,,,,9 212,95 462,,-,,,,,,,,,,,,,,,,,,,,,,Avantages à court terme,237 452,297 096,-,,,,,,,,,,,,,,,,,
GAT,38,3,,,,,,,,,,,,,,205 874,104 105,,-,,,,,,,,,,,,,,,,,,,,,,Avantages postérieurs à l’emploi,48 542,105 175,-,,,,,,,,,,,,,,,,,
GAT,38,3,,,,,,,,,,,,,,-,-,,64 000,,,,,,,,,,,,,,,,,,,,,,Jetons de Présence,-,-,64 000,,,,,,,,,,,,,,,,,
GAT,38,3,,,,,,,,,,,,,,215 085,199 567,,64 000,,,,,,,,,,,,,,,,,,,,,,TOTAL,285 995,402 271,64 000,,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convention de gestion de portefeuille,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,357 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Charge supportée sur année 2025,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,35 701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Charge supportée sur années 2022-2023-2024 (Avenant 2025),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dividendes,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Dividendes servis,2 075 340,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,(561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Dividendes encaissés,(202 415),,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jetons de présence,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,11 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Jetons de présence servis,19 000,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,(5 000),,,,,,,,,,,,,,,,,,,,,,,,,,- Jetons de présence encaissés,(25 667),,(6 250),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat d'assurance vie collectif (décès & Incapacité/Invalidité),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,(2 603),,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance encaissée,(126 699),,(4 949),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance servie,19 146,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat d'assurance vie collectif (décès),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,(717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance encaissée,(66 740),,(2 789),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat collectif d'assurance vie (IDR),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance encaissée,(58 051),,(9 000),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat collectif d'assurance vie (retraite complémentaire),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,(11 162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance encaissée,(585 861),,(20 021),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat collectif d'assurance vie (fidélisation),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,(4 319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance encaissée,(556 357),,(76 091),,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrats d'assurance automobiles (3 véhicules),,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance servie,17 104,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat d'assurance multirisque ordinateurs,,,,,,,,,,,,,,,,
GAT,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance servie,651,,,,,,,,,,,,,,,
GAT,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promotion,,,,,,,,,,,
GAT,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immobilière,,,,,,,,,,,
GAT,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investissement,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat d'assurance accidents corporels,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance servie,3 339,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat d'assurance RC exploitation (Tournoi Padel Trophy 2025),,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime d'assurance servie,473,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charges communes salariales,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Quote part - charge,1 136 646,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Quote part - produit,-,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charges communes de primes d'assurance Maladie (Ass groupe),,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Quote part - charge,52 172,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrat de location,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Charge locative,105 596,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Produit locatif,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charges communes d'immeuble,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Quote part - charge,106 707,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charges communes de consommation téléphonique Orange,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Quote part - charge,4 330,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traité de réassurance vie en quote-part au titre des affaires TUNISAIR,,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Prime cédée - charge,142 886,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Intérêts sur réserves - Charge,7 225,,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Commission de réassurance - Produit,(17 146),,,,,,,,,,,,,,,
GAT,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Participation aux bénéfices - Charge,(102 878),,,,,,,,,,,,,,,
GAT,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promotion,,,,,,,,,,,
GAT,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immobilière,,,,,,,,,,,
GAT,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investissement,,,,,,,,,,,
GAT,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promotion,,,,,,,,,,,
GAT,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immobilière,,,,,,,,,,,
GAT,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1 453 451),,,,,"Solde du compte ""société du groupe GAT""",,,,,,,,,,
GAT,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 856,,,,,Solde des prêts au personnel de la société mère,,,,,,,,,,
GAT,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investissement,,,,,,,,,,,
GAT,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promotion,,,,,,,,,,,
GAT,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immobilière,,,,,,,,,,,
GAT,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 252 019,,,,,,"Nantissement de l'épargne constituée par les agents
en garantie de leurs obligations contractuelles vis-
à-vis de GAT Assurances",,,,,,,,,
GAT,41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investissement,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,46,1,,,,,,,,,,,11 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 250,"-
800
32 418 785
-",,,,,,
GAT,46,1,,,,,,,,,,,229 442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228 642,,,,,,,
GAT,46,1,,,,,,,,,,,32 418 785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
GAT,46,1,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
GAT,46,1,,,,,,,,,,,32 659 477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239 892,32 419 585,,,,,,
GAT,46,1,,,,,,,,,,,(345 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"(345 116)
(41 404)
(430)",,,,,,
GAT,46,1,,,,,,,,,,,(434 106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(392 702),,,,,,,
GAT,46,1,,,,,,,,,,,(430),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
GAT,46,1,,,,,,,,,,,(779 222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(392 702),(386 520),,,,,,
GAT,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concernant les placements,,,,,
GAT,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dans des entreprises liées et,,,,,
GAT,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avec lien de participation,,,,,
GAT,47,1,,,,,,,,,,,"Primes Acquises 89 649 225
Charges de prestations (52 487 712)
Charges des provisions d'assurance Vie et des autres provisions techniques (53 518 161)
Autres Produits Techniques",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,Solde de souscription : (16 356 648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,"Frais d'acquisition (4 064 633)
Autres charges de gestion nettes (4 991 959)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,Charges d'acquisition et de gestion nettes : (9 056 591),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,"Produits nets de placements 33 756 841
Participation aux résultats (30 331)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,Solde Financier : 33 726 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,"Part des réassureurs dans les primes acquises (799 122)
Part des réassureurs dans les prestations payées 653 441
Part des réassureurs dans les charges de provisions (661)
Part des réassureurs dans les participations aux résultats 308 633
Commissions reçues des réassureurs 10 322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,Solde de réassurance : 172 613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,"Résultat technique pour l'exercice clos le 31/12/2025 8 485 882
Résultat technique pour l'exercice clos le 31/12/2024 5 949 735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,1,,,,,,,,,,,Variation (2025-2024) : 43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRV11
CHV11
CHV12, CHV21
CHV41, CHV42
PRV4, CHV43
PRV2, CHV9
CHV3 1° Colonne
PRV11 2° Colonne
CHV11 2° Colonne
CHV21 2° Colonne
CHV3 2° Colonne
CHV44 2° Colonne",,,,
GAT,53,1,,,,,,,,,,,,,,"% en
obligations",Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"% en
actions",Actions,
GAT,53,1,,,,,,,,,,,,,,60%,TMM (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client prudent,40%,"Performance du
TUNINDEX (2)","% Action x
Performance du
TUNINDEX (2) +
% Obligations x
TMM (1)"
GAT,53,1,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Client acceptant
un risque modéré",60%,,
GAT,53,1,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Client acceptant
le haut risque",80%,,
GAT,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1) Le TMM du mois de décembre de l’année, exprimé en valeur nette, après déduction de la
retenue à la source de 20%.
(2) La performance du TUNINDEX de l’année arrêtée au 31 décembre de l’année.",,,
GAT,59,1,,,,,,,,,,,,,,"Passif au
31/12/2025","Passif au
31/12/2025",,"Passif au
31/12/2025",,,,,,,,,,,,,,,,,,,,,,,"Charges de
l'exercice","Charges de
l'exercice","Charges de
l'exercice",,,,,,,,,,,,,,,,,
GAT,59,1,,,,,,,,,,,,,,9 212,95 462,,-,,,,,,,,,,,,,,,,,,,,,,Avantages à court terme,237 452,297 096,-,,,,,,,,,,,,,,,,,
GAT,59,1,,,,,,,,,,,,,,205 874,104 105,,-,,,,,,,,,,,,,,,,,,,,,,Avantages postérieurs à l’emploi,48 542,105 175,-,,,,,,,,,,,,,,,,,
GAT,59,1,,,,,,,,,,,,,,-,-,,64 000,,,,,,,,,,,,,,,,,,,,,,Jetons de Présence,-,-,64 000,,,,,,,,,,,,,,,,,
GAT,59,1,,,,,,,,,,,,,,215 085,199 567,,64 000,,,,,,,,,,,,,,,,,,,,,,TOTAL,285 995,402 271,64 000,,,,,,,,,,,,,,,,,
