societe,page,table_num,Actifs du Bilan Combiné arrêté au 31/12/ 2025,Note,31/12/2025,col,col_2,col_3,col_4,col_5,col_6,col_7,31/12/2024,col_8,col_9,col_10,col_11,Entreprise,Fonds des,"Actifs nets/Capitaux propres et passif du bilan
combiné arrêté au 31/12/ 2025",col_12,col_13,col_14,col_15,Etat de Surplus ou Déficit du Fonds Takaful Général (exprimé en dinars),L'état de Résultat de l'entreprise Takaful et/ou Rétakaful (Exprimé en dinars),2025,2024,Annexe 7 : Modèle de l’Etat des flux de trésorerie Combiné,"31/12/2024, ce qui repréVsaelneuter buruntee augmentation de Valeur Brute To t:a l Amort Dotation Total Amort Valeur nette
Libellés Acquisition 2025
31/12/2024 31/12/2025 31/12/2024 2025 31/12/2025 31/12/2025","Valeur b rute Acquisition Valeur Brute Total Amort Dotation Total Amort Valeur n ette
Libellés
31/12/2024 2025 31/12/2025 31/12/2024 2025 31/12/2025 31/12/2025","ils se détaillent comme suit :
Valeur nette
Libellés Valeur brut Valeur nette 2024 Variation
Provision 2025",Total Placements Fonds des Adhérents 330 159 795 - 2 080 998 328 078 797 262 555 614 65 523 183,Total Placements de l’opérateur du fonds 62 829 168 - 1 412 271 61 416 897 53 164 068 8 252 829,Libellés Montant 2025 Montant 2024 Variation,":
Libellés Montant 2025 Montant 2024 Variation",se détaillant comme suit : Libellés,Montant 2025,Montant 2024,Variation,Total Fonds des Adhérents,5 983 730,4 495 429,1 488 301,Total opérateur du fonds,16 428 588,14 519 977,1 908 610,Libellés Montant 2025 Montant 2024 Variatio n,Total opérateur 897 331 2 324 458 -1 427 128,"mouvements et ajustements intervenus au cours de la période considérée :
Affectations Actifs Nets 2025
Actifs Nets 2024 Surplus ou déficit
Libellés et Distributions Avant
Avant Affectation 2025
imputations Affectation","dinars au 31/12/2024, enregistrant une variation de dinars :
Capitaux propres Affectations Capitaux
Augmentatio Autre
Libellés 2024 Avant et Dividendes Résultat 2025 Propres 2025
n de capital Mouvements
Affectation imputations avant Affectation","Résultats
reportés","Résultat de
l'exercice 2025",Libellés,STuortpallu Fso aǹ ddiss tdreibsu Aedr hérents,112 470697 2 82167,135 2231 34 3307 6,-848455 759660,"ETotatta, lO Orgpaénriastmeue rd de use f́counrditse ́ sociale",71 870486 180207,71 269852 383085,56133 7 06222,"Les primes émises et acceptées présentent un solde net au 31/12/20V2a5r idatei on
Variation Opérations
Primes acquises / des Primes
Primes émises Annulation des Primes A Cessions Nettes au
Branches Acquises
Annuler 31/12/2025
Non Emises","2024, soit une augmentation de s’analysant comme suit :
opérations Brutes opérations opérations nettes
Libellé cessions 2025 variations nettes
2025 nettes 2025 2024",Branches,Primes,"Annulation
s et
Ristournes","Primes A
Annuler",Primes_2,"Variation
PPNA 2025","Prime
Acquises",cessions,col_16,Opérations,col_17,Annulation,Primes A,Prime,"soit une augmentation de s’analysant comme suit :
opérations opérations nettes opérations variations
Libellé cessions 2024
Brutes 2025 2025 nettes 2024 nettes",Actifs Nets 2024 Avant,Affectations et,Distributions,Surplus ou,Actifs Nets 2025 Avant,Capitaux propres,Affectations,"Augmentati
on de capital",Autre,Dividendes,"Résultat
2025",Capitaux Propres,Augmentati,Résultat,Désignation,Valeur brute,Amortissements et provisions,VCN,"Placements immobiliers et placements
immobiliers en cours","Origine des Fonds
placés (Fonds des
adhérents ou
entreprise Takaful)",Année d'inventaire,Exercice de survenance,Année d'in ventaire,Revenus et,Autres revenus et frais financiers,Annexe 14: Ventilation de surplus ou déficit par catégorie d'assurance(assurance takaful,AUTO,TRANS,INCENDIE,DIVERS,Total,Raccordement,Ass Familial et Capit,TOTAL,Affectation du placement,Montant (DT),"ressortent des Etats Financiers relatifs à
Montants bruts en Dinars",l’exeDrciirceec ctleousr l eG 3é1n édréacle mbr,e 2025 sAe dpmréisneinstternatt ecuomrsm e suit:
ZITOUNA,2,1,(Exprimé en dinars),,"Fonds des
Adhérents",,"Entreprise
Takaful
et/ou
Rétakaful",,,,Entreprise,"Fonds des
Adhérents",,"Entreprise
Takaful
et/ou
Rétakaful",,,Entreprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,Takaful,,,,,,Takaful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,et/ou,,,,,,et/ou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,Rétakaful,,,,,,Rétakaful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,combiné,,,,,,combiné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC1 Actifs incorporels,1,0,,,655 331,,,655 331,,0,,586 425,,586 425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AACC122 A Ccotinfsce csosriopnosr, eblrse dv'eetxs,p llioceitnacteios,n m arques",2,00,,,36 45055 3 13510,,,36 45055 3 13510,,00,,35 58266 4 32558,,35 58266 4 32558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC21 Installations techniques et machines,,0,,,2 434 060,,,2 434 060,,0,,2 609 238,,2 609 238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AACC232 P Alaucterems einnsttsa llation, outillage et mobilier",3,328 070 8 797,,,619 7411 60 9809 7,,,38997 419 059 609 4,,262 550 5 614,,539 1176 41 2006 8,,31951 771 192 608 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,A C31 Terrains et constructions,,0,,,8 982 019,,,8 982 019,,0,,8 982 019,,8 982 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC32 Placements dans les entreprises et participations,,6 370 860,,,11 044 472,,,17 415 332,,9 875 031,,10 021 969,,19 897 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC311 Terrains et constructions d'exploitation,,0,,,8 982 019,,,8 982 019,,0,,8 982 019,,8 982 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AC323 Parts dans des entreprises avec un lien de participation
AC324 Sukuks, Bons et autres titres à revenus assimilés émis par des",,337 527,,11 044 472,,,11 381 999,,375 031,,10 021 969,,10 397 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,eAnCt3r3ep Aruisterse sa vpelca cleesmqeuneltlse sfi nl'eanntcrieeprrsi se d'assurance a un lien de,,321 300 498,,,41 390 406,,,362 690 904,,252 290 546,,34 160 080,,286 450 626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,participation et créances sur ces entreprises,,6 033 333,,,0,,,6 033 333,,9 500 000,,0,,9 500 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AC331 Actions, autres titres à revenu variable et part dans des FCP",,3 046 505,,,36 408 226,,,39 454 731,,3 090 000,,28 060 000,,31 150 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC333 Autres prêts,,150 000,,,0,,,150 000,,150 000,,0,,150 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AACC33345 C Drééapnôctse sa upporuèrs e dsepsè écteasb dliéspseomséeenst as ubpanrècsa idreess eetn ftirneapnrciiseerss
AcéCd3a3n6t eAsu tres",,"317 810 000
420973 499339",,"4 908 000
74 01 80",,,"322 718 000
430678 417339",,"248 767 500
329803 004368",,"6 025 900
74 01 80",,"254 793 400
339507 202368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,74 01 80,,,430678 417339,,329803 004368,,74 01 80,,339507 202368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC5 Part des réassurances dans les provisions techniques,4,21 115 797,,,,,,21 115 797,,19 801 701,,,,19 801 701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC510 Provisions pour primes non acquises,,5 427 887,,,0,,,5 427 887,,4 803 463,,0,,4 803 463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC520 Provisions d'assurance (Takaful familial),,970 783,,,0,,,970 783,,973 194,,0,,973 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC530 Provisions pour sinistre (Takaful familial),,311 867,,,0,,,311 867,,272 928,,0,,272 928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AACC563 C1r éParonvciessio ns pour sinistre (Takaful général),5,3144 040085 296706,,,18 8104 144,,,5124 842035 216200,,3193 177532 131956,,17 7904 647,,5163 976582 101454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,A C61 Créances nées d'opérations d'assurance directe,,27 08 0 996,,,0,,,27 08 0 996,,31 53 2 996,,0,,31 53 2 996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC611 Primes acquises et non émises,,-2 292 472,,,0,,,-2 292 472,,-1 473 819,,0,,-1 473 819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AACC66122 C Aréuatrnecse csr nééaensc eds'o npééersa dt'ioopnésr daeti ornéa ds'saussruarnacnec e directe,,296 4844 22 5317 2,,,00,,,296 4844 22 5317 2,,236 1 64142 9 37513,,00,,236 1 64142 9 37513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AACC66133 A Curtéraens ccersé ainndceems nisées subrogées à l'entreprise d'assurance,,52 958331 079360,,,16 4208 588,,,222 543112 0 39167,,46 439954 446229,,14 5109 977,,169 309145 4 46026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC631 Personnel,,0,,,29 604,,,29 604,,0,,49 807,,49 807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"AACC66362 C Erétaatn, coersg asnuirs mlee Fso dned ssé dceusr iatéd hsoécrieanl,t cso llectivités publiques",,5 9803 730,,,124 3 88154 5 25277,,,220 3 78957 5 95577,,4 4905 429,,133 2 17340 6 87508,,137 2 67246 6 27807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC633 Débiteurs divers,,0,,,1 584 756,,,1 584 756,,0,,1 339 312,,1 339 312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC7 Autres éléments d'actif,6,17 990 059,,,1 722 956,,,19 713 015,,17 893 829,,3 196 852,,21 090 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,"A C71 Avoirs en banque, CCP, chèques et caisse",,2 790 981,,,897 331,,,3 688 312,,3 199 074,,2 324 458,,5 523 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC721 frais d'acquisition reportés,,12 013 640,,,0,,,12 013 640,,11 721 780,,0,,11 721 780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC731 Profit et loyers acquis non échus,,3 181 688,,,36 263,,,3 217 951,,2 969 226,,48 428,,3 017 654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,AC733 Autres comptes de régularisation,,3 750,,,789 363,,,793 113,,3 750,,823 966,,827 716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZITOUNA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
