societe,date_document,source_fichier,source_type,confidence,issue_count,issues,primes_emises,charge_sinistres,provisions_techniques,resultat_net,total_bilan,fonds_propres,ratio_sp
AMANA,2025-12-31,Etat financier AMANA TAKAFUL 2025.pdf,financial_statement,0.0,7,missing:primes_emises;missing:charge_sinistres;missing:provisions_techniques;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp,,,,,,,
ASTREE,2025-12-31,Etat financier ASTREE 2025.pdf,financial_statement,0.121,7,suspect:primes_emises->catalog_fallback;suspect:charge_sinistres->catalog_fallback;suspect:provisions_techniques->catalog_fallback;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,90937720.0,168215954.0,37425356.0,,,,34.0
ASTREE,2026-03-31,Indicateurs d'activités ASTREE 31-03-2026.pdf,activity_report,0.0,7,suspect:primes_emises=9.42153139182824e+24;missing:charge_sinistres;missing:provisions_techniques;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp,,,,,,,
BIAT,2025-12-31,Etat financier BIAT ASSURANCE 2025.pdf,financial_statement,0.121,6,suspect:primes_emises->catalog_fallback;suspect:charge_sinistres=4.576157250435637e+23;suspect:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,208346299.0,,6328.0,12202.0,,,1.0
BNA,2025-12-31,Etat financier BNA ASSURANCES 2025.pdf,financial_statement,0.414,6,suspect:primes_emises->catalog_fallback;suspect:provisions_techniques->catalog_fallback;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,146264097.0,117031254.0,473386.0,7045881.0,,,34.0
BNA,2026-03-31,Indicateurs d'activités BNA ASSURANCES 31-03-2026.pdf,activity_report,0.0,7,missing:primes_emises;missing:charge_sinistres;missing:provisions_techniques;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,,,,,,,410.0
CARTE,2025-12-31,Etat financier CARTE VIE 2025 1.pdf,financial_statement,0.414,6,missing:primes_emises->catalog_fallback;missing:provisions_techniques->catalog_fallback;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,31108603.0,4389739.0,436807853.0,11118645.0,,,5.0
COMAR,2025-12-31,Etat financier COMAR 2025.pdf,financial_statement,0.0,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres;suspect:provisions_techniques=4.358514358512336e+18;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,29499810.0,,,2150543.0,,,34.0
ETAT FINANCIER ATIJARI ASSURANCES 2025,2025-12-31,Etat financier ATIJARI ASSURANCES 2025.pdf,financial_statement,0.414,6,suspect:primes_emises->catalog_fallback;suspect:charge_sinistres->catalog_fallback;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,169002179.0,100435205.0,738693.0,12805091.0,,,0.0
GAT,2025-12-31,Etat financier GAT VIE 2025.pdf,financial_statement,0.121,6,missing:primes_emises->catalog_fallback;suspect:charge_sinistres=6.911853426055243e+23;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,89649225.0,,7.0,5125580.0,,,31.0
HAYETT,2025-12-31,Etat financier HAYETT 2025.pdf,financial_statement,0.121,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres->catalog_fallback;suspect:provisions_techniques->catalog_fallback;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,8006.0,2333782.0,34206304.0,,,,5.0
HAYETT,2025-12-31,rapport d'activités HAYETT 31-12-2025.pdf,activity_report,0.121,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres->catalog_fallback;missing:provisions_techniques->catalog_fallback;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,8006.0,2333782.0,34206304.0,,,,5.0
MAGHREBIA,2025-12-31,Etat financier MAGHREBIA VIE 2025.pdf,financial_statement,0.707,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres->catalog_fallback;missing:provisions_techniques->catalog_fallback;suspect:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres->catalog_fallback;missing:ratio_sp->catalog_fallback,293448347.0,263610027.0,17210192.0,43432196.0,,157762112.0,1.059
MAGHREBIA,2026-03-31,Indicateurs d'activités MAGHREBIA VIE 31-03-2026.pdf,activity_report,0.0,7,missing:primes_emises;missing:charge_sinistres;missing:provisions_techniques;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp,,,,,,,
MAGHREBIA,2025-12-31,MAGHREBIA_Rapport_Activites_31-12-2025.pdf,activity_report,0.707,4,missing:charge_sinistres->catalog_fallback;suspect:resultat_net->catalog_fallback;missing:total_bilan;missing:ratio_sp->catalog_fallback,143039441.0,263610027.0,42.0,43432196.0,,46.0,1.059
STAR,2025-06-30,Etat financier STAR 30-06-2025.pdf,financial_statement,0.0,7,suspect:primes_emises->catalog_fallback;missing:charge_sinistres;missing:provisions_techniques->catalog_fallback;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,22096548.0,,2500876.0,,,,34.0
STAR,2026-03-31,Indicateurs d'activités STAR 31-03-2026.pdf,activity_report,0.0,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres;missing:provisions_techniques;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp,5323.0,,,,,,
TAKAFULIA,2025-12-31,Etat financier TAKAFULIA 2025.pdf,financial_statement,0.414,6,suspect:primes_emises->catalog_fallback;suspect:provisions_techniques->catalog_fallback;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,45653060.0,17277233.0,71350302.0,1596242.0,,,72.0
TAKAFULIA,2025-12-31,rapport d'activités AL TAKAFULIA 31-12-2025.pdf,activity_report,0.414,7,missing:primes_emises->catalog_fallback;missing:charge_sinistres->catalog_fallback;suspect:provisions_techniques->catalog_fallback;missing:resultat_net->catalog_fallback;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,45653060.0,979114.0,71350302.0,1596242.0,,,72.0
ZITOUNA,2025-12-31,Etat financier ZITOUNA TAKAFUL 2025.pdf,financial_statement,0.0,7,suspect:primes_emises->catalog_fallback;suspect:charge_sinistres=3.080283538234049e+23;suspect:provisions_techniques->catalog_fallback;missing:resultat_net;missing:total_bilan;missing:fonds_propres;missing:ratio_sp->catalog_fallback,64426991.0,,42901.0,,,,0.0
